,movieId,title,year,genres,prediction
0,260,Star Wars: Episode IV - A New Hope ,1977,Action Adventure Sci-Fi,3.33
1,1198,Raiders of the Lost Ark ,Indiana Jones and the Raiders of the Lost Ark,Action Adventure,3.09
2,56174,I Am Legend ,2007,Action Horror Sci-Fi Thriller IMAX,3.06
3,59784,Kung Fu Panda ,2008,Action Animation Children Comedy IMAX,3.20
4,69844,Harry Potter and the Half-Blood Prince ,2009,Adventure Fantasy Mystery Romance IMAX,3.34
5,71530,Surrogates ,2009,Action Sci-Fi Thriller,3.17
6,79139,"Sorcerer's Apprentice, The ",2010,Action Adventure Children Comedy Fantasy,3.10
7,81564,Megamind ,2010,Action Animation Children Comedy Sci-Fi IMAX,3.29
8,82461,Tron: Legacy ,2010,Action Adventure Sci-Fi IMAX,3.32
9,86644,Fast Five ,"Fast and the Furious 5, The",Action Crime Drama Thriller IMAX,3.18
10,91630,Mission: Impossible - Ghost Protocol ,2011,Action Adventure Thriller IMAX,3.22
11,102903,Now You See Me ,2013,Crime Mystery Thriller,3.18
12,103335,Despicable Me 2 ,2013,Animation Children Comedy IMAX,3.04
13,109374,"Grand Budapest Hotel, The ",2014,Comedy Drama,3.11
14,111362,X-Men: Days of Future Past ,2014,Action Adventure Sci-Fi,3.32
15,135536,Suicide Squad ,2016,Action Crime Sci-Fi,3.07
16,135569,Star Trek Beyond ,2016,Action Adventure Sci-Fi,2.99
17,136864,Batman v Superman: Dawn of Justice ,2016,Action Adventure Fantasy Sci-Fi,3.00
18,152077,10 Cloverfield Lane ,2016,Thriller,2.98
19,176371,Blade Runner 2049 ,2017,Sci-Fi,3.48
