,movieId,title,year,genres,prediction
0,32,Twelve Monkeys ,a.k.a. 12 Monkeys,Mystery Sci-Fi Thriller,0.39
1,47,Seven ,a.k.a. Se7en,Mystery Thriller,0.44
2,161,Crimson Tide ,1995,Drama Thriller War,0.46
3,165,Die Hard: With a Vengeance ,1995,Action Crime Thriller,0.46
4,208,Waterworld ,1995,Action Adventure Sci-Fi,0.38
5,231,Dumb & Dumber ,Dumb and Dumber,Adventure Comedy,0.39
6,253,Interview with the Vampire: The Vampire Chronicles ,1994,Drama Horror,0.38
7,292,Outbreak ,1995,Action Drama Sci-Fi Thriller,0.42
8,356,Forrest Gump ,1994,Comedy Drama Romance War,0.52
9,364,"Lion King, The ",1994,Adventure Animation Children Drama Musical IMAX,0.46
10,377,Speed ,1994,Action Romance Thriller,0.47
11,434,Cliffhanger ,1993,Action Adventure Thriller,0.46
12,440,Dave ,1993,Comedy Romance,0.39
13,480,Jurassic Park ,1993,Action Adventure Sci-Fi Thriller,0.51
14,500,Mrs. Doubtfire ,1993,Comedy Drama,0.41
15,539,Sleepless in Seattle ,1993,Comedy Drama Romance,0.41
16,588,Aladdin ,1992,Adventure Animation Children Comedy Musical,0.45
17,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,0.53
18,648,Mission: Impossible ,1996,Action Adventure Mystery Thriller,0.38
19,780,Independence Day ,a.k.a. ID4,Action Adventure Sci-Fi Thriller,0.39
