,movieId,title,year,genres,prediction
0,32,Twelve Monkeys ,a.k.a. 12 Monkeys,Mystery Sci-Fi Thriller,0.49
1,47,Seven ,a.k.a. Se7en,Mystery Thriller,0.48
2,260,Star Wars: Episode IV - A New Hope ,1977,Action Adventure Sci-Fi,0.53
3,356,Forrest Gump ,1994,Comedy Drama Romance War,0.52
4,480,Jurassic Park ,1993,Action Adventure Sci-Fi Thriller,0.50
5,500,Mrs. Doubtfire ,1993,Comedy Drama,0.48
6,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,0.52
7,858,"Godfather, The ",1972,Crime Drama,0.48
8,1097,E.T. the Extra-Terrestrial ,1982,Children Drama Sci-Fi,0.48
9,1196,Star Wars: Episode V - The Empire Strikes Back ,1980,Action Adventure Sci-Fi,0.52
10,1198,Raiders of the Lost Ark ,Indiana Jones and the Raiders of the Lost Ark,Action Adventure,0.49
11,1210,Star Wars: Episode VI - Return of the Jedi ,1983,Action Adventure Sci-Fi,0.49
12,1265,Groundhog Day ,1993,Comedy Fantasy Romance,0.49
13,1270,Back to the Future ,1985,Adventure Comedy Sci-Fi,0.47
14,1580,Men in Black ,a.k.a. MIB,Action Comedy Sci-Fi,0.48
15,2028,Saving Private Ryan ,1998,Action Drama War,0.48
16,2571,"Matrix, The ",1999,Action Sci-Fi Thriller,0.51
17,2858,American Beauty ,1999,Drama Romance,0.50
18,2959,Fight Club ,1999,Action Crime Drama Thriller,0.50
19,4993,"Lord of the Rings: The Fellowship of the Ring, The ",2001,Adventure Fantasy,0.50
