,movieId,title,year,genres,prediction
0,32,Twelve Monkeys ,a.k.a. 12 Monkeys,Mystery Sci-Fi Thriller,0.07
1,47,Seven ,a.k.a. Se7en,Mystery Thriller,0.07
2,161,Crimson Tide ,1995,Drama Thriller War,0.08
3,165,Die Hard: With a Vengeance ,1995,Action Crime Thriller,0.07
4,185,"Net, The ",1995,Action Crime Thriller,0.07
5,208,Waterworld ,1995,Action Adventure Sci-Fi,0.07
6,253,Interview with the Vampire: The Vampire Chronicles ,1994,Drama Horror,0.07
7,292,Outbreak ,1995,Action Drama Sci-Fi Thriller,0.07
8,329,Star Trek: Generations ,1994,Adventure Drama Sci-Fi,0.07
9,339,While You Were Sleeping ,1995,Comedy Romance,0.07
10,356,Forrest Gump ,1994,Comedy Drama Romance War,0.09
11,364,"Lion King, The ",1994,Adventure Animation Children Drama Musical IMAX,0.07
12,377,Speed ,1994,Action Romance Thriller,0.07
13,434,Cliffhanger ,1993,Action Adventure Thriller,0.08
14,454,"Firm, The ",1993,Drama Thriller,0.08
15,480,Jurassic Park ,1993,Action Adventure Sci-Fi Thriller,0.07
16,588,Aladdin ,1992,Adventure Animation Children Comedy Musical,0.07
17,593,"Silence of the Lambs, The ",1991,Crime Horror Thriller,0.09
18,648,Mission: Impossible ,1996,Action Adventure Mystery Thriller,0.07
19,780,Independence Day ,a.k.a. ID4,Action Adventure Sci-Fi Thriller,0.07
